date,total_articles,fiscal_articles,tariff_fiscal_articles,non_tariff_fiscal_articles,rate,tariff_rate,non_tariff_rate,fiscal_policy_index,tariff_fiscal_index,non_tariff_fiscal_index
2022-08-16,22,7,3,4,0.3181818181818182,0.13636363636363635,0.18181818181818182,97.38121204899107,65.45817885826787,153.54108153533377
2022-08-17,24,8,4,4,0.3333333333333333,0.16666666666666666,0.16666666666666666,102.01841262275255,80.00444082677184,140.74599140738928
2022-08-18,27,7,4,3,0.25925925925925924,0.14814814814814814,0.1111111111111111,79.34765426214088,71.11505851268608,93.83066093825951
2022-08-19,16,3,2,1,0.1875,0.125,0.0625,57.385357100298314,60.003330620078884,52.779746777770974
2022-08-20,17,4,3,1,0.23529411764705882,0.17647058823529413,0.058823529411764705,72.0129971454724,84.71058440481725,49.675055790843274
2022-08-22,22,6,5,1,0.2727272727272727,0.22727272727272727,0.045454545454545456,83.46961032770663,109.0969647637798,38.38527038383344
2022-08-23,25,5,2,3,0.2,0.08,0.12,61.211047573651534,38.40213159685049,101.33711381332027
2022-08-24,25,9,4,5,0.36,0.16,0.2,110.17988563257275,76.80426319370098,168.89518968886713
2022-08-25,18,4,1,3,0.2222222222222222,0.05555555555555555,0.16666666666666666,68.01227508183504,26.66814694225728,140.74599140738928
2022-08-26,29,10,3,7,0.3448275862068966,0.10344827586206896,0.2413793103448276,105.53628892008886,49.6579287890308,203.8390220382879
2022-08-27,26,9,6,3,0.34615384615384615,0.23076923076923078,0.11538461538461539,105.94219772362766,110.77537960629948,97.43953251280797
2022-08-29,24,6,5,1,0.25,0.20833333333333334,0.041666666666666664,76.51380946706442,100.0055510334648,35.18649785184732
2022-08-30,20,4,3,1,0.2,0.15,0.05,61.211047573651534,72.00399674409465,42.223797422216784
2022-08-31,24,3,2,1,0.125,0.08333333333333333,0.041666666666666664,38.25690473353221,40.00222041338592,35.18649785184732
2022-09-01,23,6,3,3,0.2608695652173913,0.13043478260869565,0.13043478260869565,79.84049683519765,62.612171081821444,110.14903675360901
2022-09-02,20,3,2,1,0.15,0.1,0.05,45.90828568023865,48.002664496063105,42.223797422216784
2022-09-03,27,6,3,3,0.2222222222222222,0.1111111111111111,0.1111111111111111,68.01227508183504,53.33629388451456,93.83066093825951
2022-09-06,20,9,4,5,0.45,0.2,0.25,137.72485704071596,96.00532899212621,211.1189871110839
2022-09-07,18,3,2,1,0.16666666666666666,0.1111111111111111,0.05555555555555555,51.009206311376275,53.33629388451456,46.915330469129756
2022-09-08,23,8,5,3,0.34782608695652173,0.21739130434782608,0.13043478260869565,106.45399578026354,104.35361846970241,110.14903675360901
2022-09-09,18,7,3,4,0.3888888888888889,0.16666666666666666,0.2222222222222222,119.02148139321132,80.00444082677184,187.66132187651903
2022-09-10,17,6,2,4,0.35294117647058826,0.11764705882352941,0.23529411764705882,108.01949571820859,56.47372293654483,198.7002231633731
2022-09-12,20,5,3,2,0.25,0.15,0.1,76.51380946706442,72.00399674409465,84.44759484443357
2022-09-13,19,3,1,2,0.15789473684210525,0.05263157894736842,0.10526315789473684,48.32451124235647,25.264560261085844,88.89220509940375
2022-09-14,20,3,3,0,0.15,0.15,0.0,45.90828568023865,72.00399674409465,0.0
2022-09-15,27,6,1,5,0.2222222222222222,0.037037037037037035,0.18518518518518517,68.01227508183504,17.77876462817152,156.3844348970992
2022-09-16,23,8,6,2,0.34782608695652173,0.2608695652173913,0.08695652173913043,106.45399578026354,125.22434216364289,73.43269116907265
2022-09-17,18,6,4,2,0.3333333333333333,0.2222222222222222,0.1111111111111111,102.01841262275255,106.67258776902912,93.83066093825951
2022-09-19,16,6,5,1,0.375,0.3125,0.0625,114.77071420059663,150.0083265501972,52.779746777770974
2022-09-20,23,7,4,3,0.30434782608695654,0.17391304347826086,0.13043478260869565,93.1472463077306,83.48289477576192,110.14903675360901
2022-09-21,24,4,3,1,0.16666666666666666,0.125,0.041666666666666664,51.009206311376275,60.003330620078884,35.18649785184732
2022-09-22,21,7,3,4,0.3333333333333333,0.14285714285714285,0.19047619047619047,102.01841262275255,68.57523499437586,160.8525616084449
2022-09-23,20,4,1,3,0.2,0.05,0.15,61.211047573651534,24.001332248031552,126.67139226665034
2022-09-24,18,7,5,2,0.3888888888888889,0.2777777777777778,0.1111111111111111,119.02148139321132,133.34073471128642,93.83066093825951
2022-09-26,15,6,2,4,0.4,0.13333333333333333,0.26666666666666666,122.42209514730307,64.00355266141747,225.19358625182284
2022-09-27,18,4,0,4,0.2222222222222222,0.0,0.2222222222222222,68.01227508183504,0.0,187.66132187651903
2022-09-28,24,9,1,8,0.375,0.041666666666666664,0.3333333333333333,114.77071420059663,20.00111020669296,281.49198281477857
2022-09-29,17,3,1,2,0.17647058823529413,0.058823529411764705,0.11764705882352941,54.009747859104294,28.236861468272416,99.35011158168655
2022-09-30,22,5,3,2,0.22727272727272727,0.13636363636363635,0.09090909090909091,69.55800860642219,65.45817885826787,76.77054076766689
2022-10-01,20,7,3,4,0.35,0.15,0.2,107.11933325389018,72.00399674409465,168.89518968886713
2022-10-03,16,5,4,1,0.3125,0.25,0.0625,95.64226183383052,120.00666124015777,52.779746777770974
2022-10-04,20,6,4,2,0.3,0.2,0.1,91.8165713604773,96.00532899212621,84.44759484443357
2022-10-05,21,7,2,5,0.3333333333333333,0.09523809523809523,0.23809523809523808,102.01841262275255,45.71682332958391,201.0657020105561
2022-10-06,24,6,6,0,0.25,0.25,0.0,76.51380946706442,120.00666124015777,0.0
